"","","p"
"1",0,0.00690754083916545
"2",724,0.0244715232402086
"3",725,0.0113647431135178
"4",781,0.0158127080649137
"5",830,0.0158127080649137
"6",835,0.0158127080649137
"7",849,0.0113560035824776
"8",850,0.0158127080649137
"9",877,0.0158127080649137
"10",882,0.0158127080649137
"11",883,0.0169489625841379
"12",920,0.0158127080649137
"13",941,0.0158127080649137
"14",958,0.0158127080649137
"15",1067,0.0158127080649137
"16",1081,0.0158127080649137
"17",1083,0.0158127080649137
"18",1086,0.0158127080649137
"19",1105,0.0158127080649137
"20",1126,0.0158127080649137
"21",1181,0.0158127080649137
"22",1234,0.0158127080649137
"23",1237,0.0158127080649137
"24",1250,0.0158127080649137
"25",1253,0.0158127080649137
"26",1281,0.0158127080649137
"27",1292,0.0158127080649137
"28",1319,0.0158127080649137
"29",1395,0.0158127080649137
"30",1637,0.0158127080649137
"31",1642,0.0158127080649137
"32",1776,0.0158127080649137
"33",1778,0.0158127080649137
"34",1782,0.0158127080649137
"35",1787,0.0158127080649137
"36",1789,0.0158127080649137
"37",1790,0.0158127080649137
"38",1800,0.0158127080649137
"39",1826,0.0158127080649137
"40",1828,0.0158127080649137
"41",1841,0.0158127080649137
"42",1845,0.355252146720886
"43",1900,0.0158127080649137
